,Brand,Series,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
1026,Dell,Inspiron 3511 Laptop,Intel Core i3 1.7 GHz,Intel Integrated Graphics,64 GB,15.6 Inches,1920 x 1080 pixels,2000 GB SSD,Windows 11 Home,3.8 Pounds,779.64
1027,HP Inc.,056-01-4094,Qualcomm MediaTek MT8183 2 GHz,MediaTek Integrated,4 GB,11.6 Inches,1366 x 768,32 GB SSD,Chrome OS,1 Pounds,165.0
1028,ASUS,Vivobook 15 F1500EA,Intel Core i5 Family Intel Core i5 1135G7 2.7 GHz,Intel Iris Xe Graphics,8 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 10 Home,4 Pounds,529.0
1029,HP,15-DY100,Intel Core i3-1005G1 Intel Core i3-1005G1 1.3 GHz,Intel UHD Graphics,16 GB,15.6 Inches,1366 x 768,512 GB SSD,Windows 11 Pro,,549.0
1030,Dell,Latitude Rugged 5430 Laptop,Intel Core i7 1.8 GHz,Intel Integrated Graphics,16 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Pro,8 Pounds,2099.99
1031,SAMSUNG,Samsung Chromebook,Intel Celeron Celeron 3965Y 1.5 GHz,Intel HD Graphics 615,4 GB,12.2 Inches,1600 x 600 pixels,"32 GB SSD, Emmc",Chrome OS,3 Pounds,268.99
1032,HP,14-stream,Intel Celeron N4000 1.1 GHz,Intel UHD Graphics 600,4 GB,14 Inches,1366x768,64 GB SSD,Windows 10 S,3.2 Pounds,215.0
1033,Dell,Inspiron 16 7630,Intel Core i7 Family Intel Core i7-1360P 2.9 GHz,Intel Iris Xe Graphics,16 GB,16 Inches,1920 x 1200,1 TB Hybrid,Windows 10 Pro,,1079.0
1034,Lenovo,ThinkPad E16 Gen 1,Intel Core i7 Family Intel Core i7-1355U 3 GHz,Intel Iris Xe Graphics,24 GB,16 Inches,1920 x 1200,2 TB SSD,Windows 11 Home,,1369.0
1035,Lenovo,ThinkPad T14 Gen 2,Intel Core i5 Family Intel Core i5-1135G7 2.3 GHz,Intel Iris Xe Graphics,48 GB,14 Inches,1920 x 1080,512 GB SSD,Windows 11 Pro,3.31 Pounds,1099.0
1036,Dell,Inspiron 16 2-in-1,Intel Core i7 Family Intel Core i7-1260P 2.4 GHz,Intel Iris Xe Graphics,16 GB,16 Inches,1920 x 1200,1 TB SSD,Windows 11 Pro,4.62 Pounds,1339.99
1037,Dell,7490,Intel Core i7 8550U 1.9 GHz,Intel,16 GB,14 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10 Pro,5 Pounds,344.99
1038,Lenovo,Lenovo IdeaPad 3 81WF,Intel Core i5 Family Intel Core i5-1035G1 1.8 GHz,Intel UHD Graphics,12 GB,17.3 Inches,1600 x 900,1 TB SSD,Windows 10 Home,4.9 Pounds,679.0
1039,LENOVO,82QE000K,Intel Core i7 Family Intel Core i7-1255U 2.9 GHz,Intel Iris Xe Graphics,16 GB,14 Inches,2240 x 1400 pixels,1 TB SSD,Windows 11 Home,3.2 Pounds,1399.99
1040,Dell,Vostro 3510,Intel Core i7-1165G7 2.8 GHz,Intel UHD Graphics,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 10 Pro,3.7 Pounds,966.0
1041,Dell,i3505-A798BLK-PUS,AMD Ryzen 5 3500U AMD Ryzen™ 5 3500U 2.1 GHz,AMD Radeon Vega 8,8 GB,15.6 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10 Home,2.7 Pounds,398.99
1042,ROKC,Ultra Slim,Intel Intel Core i3 Intel Core i3-1115G4 1.7 GHz,Intel,4 GB,15.6 Inches,1920 x 1080 pixels,128 GB SSD,Windows 11,4.2 Pounds,249.99
1043,acer,Aspire 5,AMD Ryzen 3 3200U 2.7 GHz,AMD Radeon Vega 3,16 GB,15.6 Inches,1920x1080,512 GB SSD,Windows 11 Pro,4 Pounds,599.0
1044,Lenovo,ThinkPad X1 Carbon Gen 11 Laptop PC,Intel Core i7 Family Core i7-1365U 5.2 GHz,Intel Iris,32 GB,14 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Pro,1.4 Pounds,1567.88
1045,Lenovo,,Intel,Intel,8 GB,14 Inches,1920 x 1080 pixels,,Windows 11 Pro,5.4 Pounds,919.99
1046,acer,Aspire 5 15,Intel Core i5 Family Intel Core i5-1335U 4.8 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080,1 TB SSD,Windows 11 Home,3.9 Pounds,769.0
1047,Lenovo,IdeaPad 3 81X7,Intel Core i5 Family Intel Core i5-1135G7 2.6 GHz,Intel Iris Xe Graphics,12 GB,14 Inches,1920 x 1080,512 GB SSD,Windows 10 Home,3.3 Pounds,500.0
1048,ASUS,Vivobook X1402ZA,Intel Core i7 Family Intel Core i7-1260P 2.9 GHz,Intel Iris Xe Graphics,8 GB,14 Inches,1920 x 1800,2 TB SSD,Windows 11 Pro,3.3 Pounds,1189.99
1049,HP,15-EF200,AMD Ryzen 7 AMD Ryzen 7 5700U 2.1 GHz,AMD Radeon Graphics,64 GB,15.6 Inches,1366 x 768,2 TB SSD,Windows 11 Pro,,1119.0
1050,HP,17-CN000,Intel Core i7 Family Intel Core i7-1165G7 3 GHz,Intel Iris Xe Graphics,16 GB,17.3 Inches,1920 x 1080,512 GB SSD,Windows 11 Home,4.5 Pounds,899.0
1051,acer,,Intel Core i5 1.7 GHz,Integrated,16 GB,14 Inches,1920 x 1080,,Windows 11 Home,2.76 Pounds,559.99
1052,Dell,Latitude 7430 Laptop,Intel Core i7,Intel,32 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Pro,2.69 Pounds,935.54
1053,HP,ProBook,Intel Core i5-3210M 2.5 GHz,Intel HD Integrated Graphics,4 GB,14 Inches,1366 x 768 pixels,500 GB,Windows 10 64 Bit-Multi-Language Supports English/Spanish/French,,191.98
1054,Lenovo,IdeaPad Flex 5i Chromebook,Intel Core i3 1115G4 3,Intel UHD Graphics,8 GB,13.3,1920 x 1080 pixels,128 GB SSD,Chrome OS,4.4 Pounds,479.0
1055,acer,SP314-55N-53GS,Intel Core i5 i5-1235U 4.4 GHz,Intel Iris Xe Graphics,8 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,3.2 Pounds,879.99
1056,HP,Pavilion 15,Intel Core i7 2.9 GHz,Intel Iris Xe Graphics,32 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Pro,3.9 Pounds,899.99
1057,Lenovo,Lenovo Ideapad 3,AMD Ryzen 5 AMD Ryzen 5 5625U 2.3 GHz,AMD Radeon,8 GB,17.3 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,4.49 Pounds,609.99
1058,lenovo,,Intel Core i5 2.4 GHz,Intel Iris Graphics,8 GB,15.6 Inches,1920 x 1080,256 GB SSD,Windows 11,1900 Grams,629.99
1059,Dell,LATITUDE 5280,Intel Core i5 INTEL CORE I5-7300U 2.6 GHz,Integrated Graphics,16 GB,12.5 Inches,1366 x 768 pixels,500 GB HDD,Windows 10 Pro 64 Bit-Multi-Language Support English/French/Spanish.,3 Pounds,296.98
1060,Lenovo,ThinkPad E15 Gen 4,AMD Ryzen 7 AMD Ryzen 7 5825U 2 GHz,AMD Radeon Graphics,16 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Pro,3.7 Pounds,949.99
1061,ASUS,Zenbook Pro 17,AMD Ryzen 7 AMD Ryzen 7 6800H 4.7 GHz,AMD Radeon Graphics,8 GB,17.3 Inches,1920 x 1080,512 GB SSD,Windows 11 Home,5.05 Pounds,999.99
1062,HP,15-EF100,AMD Ryzen 3 3250U AMD Ryzen 3 3250U 2.8 GHz,AMD Radeon Graphics,16 GB,15.6 Inches,1920 x 1080,512 GB SSD,Windows 11 Pro,,559.0
1063,HP,EliteBook 845 G9,AMD Ryzen 5 AMD Ryzen 5 6600U 2.4 GHz,AMD Radeon Graphics,16 GB,14 Inches,1920 x 1200,1 TB SSD,Windows 10 Pro,,1289.99
1064,HP,15-DW300,Intel Core i3 Family Intel Core i3-1115G4 2 GHz,Intel UHD Graphics,16 GB,15.6 Inches,1920 x 1080,512 GB SSD,Windows 10 Home,,499.0
1065,ASUS,ASUS Chromebook Flip CX3,Intel Core i5 Intel Core i5-1130G7 4 GHz,Intel,8 GB,14,1920 x 1080 pixels,256 GB SSD,Chrome OS,3.6 Pounds,791.44
1066,Lenovo,80YS0000US,Intel Celeron 1.6 GHz,Intel,2 GB,11.6 Inches,1366 x 768 pixels,16 GB Emmc,Chrome OS,1250 Grams,99.99
1067,Dell,Latitude,Intel Core i5 Family Core i5-8350u 1.7 GHz,Intel UHD Graphics 620,8 GB,15.6 Inches,1366 x 768,500 GB HDD,Windows 10 Pro,5490 Grams,529.99
1068,ASUS,L510MA-PS04-W,Intel Celeron Celeron N4020 1.1 GHz,Intel UHD Graphics,4 GB,15.6 Inches,1920 x 1080 pixels,128 GB SSD,Windows 11 Home,5.6 Pounds,249.0
1069,Lenovo,Ideapad Flex 3 Chromebook,MediaTek Mediatek Mt8173C MT8173C 2.1 GHz,PowerVR GX6250,4 GB,11.6,1366 x 768 pixels,64 GB Flash Memory,Chrome OS,2.7 Pounds,299.99
1070,LG,LG Gram 16,Intel Core i7 Family Intel Core i7-1260P 2.1 GHz,Intel Iris Xe Graphics,16 GB,16 Inches,2560 x 1600 pixels,512 GB SSD,Windows 11,,1369.99
1071,HP,14-FQ0039MS,AMD Ryzen 3 3250U Ryzen 3 3250U 2.6 GHz,AMD Radeon Graphics,16 GB,14 Inches,1366 x 768 pixels,512 GB SSD,Windows 11 Home,3.3 Pounds,599.0
1072,ASUS,Vivobook X1402ZA,Intel Core i7 Family Intel Core i7-1260P 3.1 GHz,Intel Iris Xe Graphics,24 GB,14 Inches,1920 x 1080,1 TB SSD,Windows 11 Pro,3.31 Pounds,989.0
1073,acer,,AMD Ryzen 5,AMD,8 GB,14 Inches,1920 x 1080 pixels,512 GB,Windows 11 Home,,469.98
1074,acer,Acer Aspire 5,AMD Ryzen 3 AMD Ryzen 3 3350U 2.2 GHz,AMD Radeon Graphics,8 GB,15.6 Inches,1920 x 1080,512 GB SSD,Windows 11 Home,3.99 Pounds,509.0
1075,Dell,Latitude 7320 Laptop,Intel Core i7 1.2 GHz,Intel,16 GB,13.3 Inches,1920 x 1080 pixels,512 GB SSD,Windows 10 Pro,2.5 Pounds,764.6
1076,HP,Pavilion x360,Intel Core i5 Family Intel Core i5-1235U 2.7 GHz,Intel Iris Xe Graphics,8 GB,14 Inches,1920 x 1080,4 TB SSD,Windows 11 Pro,,1089.0
1077,ASUS,ASUS Chromebook CX1,Intel Celeron Intel Celeron N4020 2.8 GHz,Intel,4 GB,11.6 Inches,1366 x 768 pixels,,Chrome OS,3 Pounds,269.99
1078,HP,15T-ES100,Intel Core i5 Family i5-1135G7 2.4 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Pro,,879.0
1079,HP,15M-EE0013DX,AMD Ryzen 5 4500U AMD 2.3 GHz,AMD Radeon Graphics,8 GB,15.6 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10,4.4 Pounds,517.57
1080,HP,PRO X2 612G1+KEYBOARD,Intel Core i5 INTEL CORE I5-4302Y/8G/256G 1.6 GHz,Integrated Graphics,8 GB,12.5 Inches,1366 x 768 pixels,256 GB SSD,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,2.16 Pounds,209.98
1081,ASUS,VivoBook Flip J202NA-DH01T,Intel Celeron Celeron N3350 2.4 GHz,Intel HD Graphics 500,4 GB,11.6 Inches,1366 x 768 pixels,,Windows 10,2.8 Pounds,342.0
1082,HP,14-fq1003cl,AMD Ryzen 3 5300U AMD Ryzen™ 3 5300U 2.6 GHz,AMD,8 GB,14,1366 x 768 pixels,256 GB SSD,Windows 10 Home,,318.97
1083,HP,HP Pavilion,Intel,Intel UHD Graphics 620,8 GB,15.6 Inches,1366 x 768 pixels,"1 TB HDD, SSD",Windows 10 Home,4.23 Pounds,610.0
1084,acer,Aspire 5 15,Intel Core i5 Family Intel Core i5-12450H 2.1 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080,512 GB SSD,Windows 10 Home,,589.0
1085,ASUS,Vivobook 14,Intel Core i3 Family Intel Core i3-1115G4 2.2 GHz,Intel UHD Graphics,12 GB,14 Inches,1366 x 768,512 GB SSD,Windows 10 Home,,389.0
1086,Lenovo,IdeaPad 3 15,Intel Core i7 Family Intel Core i7-1255U 2.6 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080,512 GB SSD,Windows 11 Pro,,819.0
1087,HP,15-DY500,Intel Core i3 Family Intel Core i3-1215U 2.4 GHz,Intel UHD Graphics,16 GB,15.6 Inches,1920 x 1080,1 TB SSD,Windows 11 Home,,499.0
1088,HP,15-DW300,Intel Core i5 Family Intel Core i5-1135G7 2.4 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1360 x 768,512 GB SSD,Windows 11 Home,,719.0
1089,HP,HP Pavilion x360 Convertible,Intel Core i5 14-dy2010nr 4.4 GHz,Intel Iris Xe Graphics,8 GB,14 Inches,1920 x 1080,1 TB SSD,Windows 11 Home,5 Pounds,649.99
1090,HP,HP-14-DK0736MS,AMD Ryzen 3 2200U 2.6 GHz,AMD Radeon Vega 3,8 GB,14 Inches,1366 x 768 pixels,256 GB SSD,Windows 10 Pro,3.2 Pounds,559.99
1091,Dell,,Intel Core i7 1.3 GHz,Intel,32 GB,13.3 Inches,1920 x 1200 pixels,1 TB SSD,Windows 10 Pro,,1069.15
1092,Lenovo,14ALC7,AMD Ryzen 5 AMD Ryzen 5 5500U 2.1 GHz,Integrated AMD Radeon Graphics,16 GB,14 Inches,1920 x 1200 pixels,1 TB SSD,Windows 11 Home,3.3 Pounds,869.99
1093,Dell,Latitude 5540 Laptop,Intel Core i7 3.9 GHz,Intel HD Graphics 520,32 GB,15.6 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10 Pro,8 Pounds,979.0
1094,Dell,XPS 9305 Laptop,Intel Core i5 0.9 GHz,Intel Integrated Graphics,8 GB,13.3 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10 Home,2.6 Pounds,759.98
1095,Dell,Inspiron 3515,AMD R Series 2.1 GHz,AMD Radeon Graphics,32 GB,15.6 Inches,1366x768,1 TB,Windows 11 Pro,3.6 Pounds,757.05
1096,DELL,Insprion i7420 2-in-1,Intel Core i7 Family Intel Core i7-1255U 3 GHz,Intel Iris Xe Graphics,32 GB,14 Inches,1920 x 1200,1 TB SSD,Windows 10 Home,3.5 Pounds,1369.0
1097,Dell,Dell Inspiron 15,Intel Core i7-1255U Intel Core i7-1255U 2.8 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,3.7 Pounds,793.99
1098,Lenovo,Lenovo IdeaPad 3 15ITL6,Intel Core i3 Family Intel Core i3-1115G4 2.1 GHz,Intel UHD Graphics,12 GB,15.6 Inches,1920 x 1080,2 TB SSD,Windows 10 Pro,,719.0
1099,ROKC,Ideapad 3,Intel Intel Core i5 Intel Core i5-1135G7 2.4 GHz,Intel,20 GB,15.6 Inches,1920 x 1080 pixels,1000 GB SSD,Windows 11,3.74 Pounds,599.99
1100,Dell,Latitude 7420 Laptop,Intel Core i7 1.8 GHz,Intel Integrated Graphics,16 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 10 Pro,2.7 Pounds,771.53
1101,DELL,Inspiron 14 i7425,AMD Ryzen 5 AMD Ryzen 5 5625U 2.7 GHz,AMD Radeon Graphics,48 GB,14 Inches,1920 x 1200,2 TB SSD,Windows 11 Pro,3.81 Pounds,1229.0
1102,Dell,Latitude 5430,Intel Core i5 Family i5-1245U 4.4 GHz,Intel Iris Xe Graphics,16 GB,14 Inches,1366 x 768 pixels,256 GB SSD,Windows 10 Pro,,690.0
1103,acer,Aspire 5,Intel Core i5 Family Intel Core i5-1135G7 2.6 GHz,Intel Iris Xe Graphics,8 GB,14 Inches,1920 x 1080,512 GB SSD,Windows 11 Home,3.75 Pounds,599.0
1104,HP,17T-CN100,Intel Core i5 Family Intel Core i5-1155G7 2.4 GHz,Intel Iris Xe Graphics,16 GB,17.3 Inches,1920 x 1080,512 GB HDD,Windows 10 Home,,739.0
1105,SAMSUNG,NP934XED-KB1US,Intel Intel Core i5 1240P 2.1 GHz,Intel HD Graphics 520,16 GB,13.3 Inches,1920 x 1080 pixels,256 GB SSD,Windows 11 Pro,2.5 Pounds,1296.9
1106,Lenovo,,Intel,Intel HD Graphics 4400,4 GB,14 Inches,1920 x 1080 pixels,,Windows 10 Home,4.7 Pounds,208.98
1107,Dell,Latitude 3310 Laptop,Intel Core i3 2.1 GHz,Intel,8 GB,13.3 Inches,1366x768,256 GB SSD,Windows 10 Pro,3.5 Pounds,499.0
1108,Dell,Dell latitude 5420 Laptop,Intel Intel Core i5 i5-1145G7 2.4 GHz,Intel Iris Xe Graphics,8 GB,14 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10 Pro,4.5 Pounds,499.99
1109,Lenovo,IdeaPad 3 15,Intel Core i7 Family Intel Core i7-1255U 2.5 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080,512 GB SSD,Windows 11 Home,3.59 Pounds,769.0
1110,Dell,Latitude 5520 Laptop,Intel Core i7 1.2 GHz,Intel Integrated Graphics,64 GB,15.6 Inches,1920 x 1080 pixels,256 GB SSD,Windows 11 Pro,3.5 Pounds,1229.99
1111,ASUS,"17.3"" Chromebook",Intel Pentium Other Intel N4500 2.8 GHz,Intel UHD Graphics,4 GB,17.3 Inches,1920 x 1080 pixels,64 GB Emmc,Chrome OS,2.42 Kilograms,259.0
1112,Dell,Latitude 7410,Intel Core i7 i7-10610U 1.8 GHz,Intel,16 GB,14 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10 Pro,,359.99
1113,HP,HP 14 laptop,Intel Core i3 Intel Core i3-1125G4 3 GHz,Intel UHD Graphics,4 GB,14 Inches,1920 x 1080 pixels,128 GB SSD,Windows 10 Home,3.2 Pounds,329.0
1114,HP,HP 15 Laptop,Intel Core i3 1115G4 4.1 GHz,Intel UHD Graphics,8 GB,15.6 Inches,1366 x 768 pixels,256 GB SSD,Windows 11 S,3.8 Pounds,409.0
1115,Dell,latitude 5490,Intel Core i5 8250U 1.6 GHz,Intel,16 GB,14 Inches,,256 GB SSD,Windows 10,2520 Grams,642.84
1116,Dell,Dell Inspiron 3520,Intel Core i3 1215U 4.4 GHz,Intel UHD Graphics,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,3.65 Pounds,486.99
1117,Dell,LATITUDE 3150,Intel Pentium INTEL PENTIUM N3540 2.16 GHz,Integrated Graphics,8 GB,11.6 Inches,1366 x 768 pixels,500 GB HDD,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,3.7 Pounds,190.98
1118,ASUS,B43 series,Intel Intel Core 2 Duo Core 2 Duo T6500,ATI Mobility Radeon HD 5470,4 GB,15.6 Inches,1366 x 768 pixels,500 GB,Windows 7 Home Premium,1.2 Pounds,499.0
1119,HP,Elitebook 840 G3,Intel Core i5 Core i5 2.4 GHz,Intel HD Graphics 520,8 GB,14 Inches,1366 x 768 pixels,256 GB SSD,Windows 10 Pro,5 Pounds,244.99
1120,Dell,Latitude 5330 Laptop,Intel Core i7 3.6 GHz,Intel Integrated Graphics,16 GB,13.3 Inches,1920 x 1080 pixels,1000 GB SSD,Windows 11 Pro,2.7 Pounds,857.0
1121,DELL,Inspiron 15 3535,AMD Ryzen 5 AMD Ryzen 5 7530U 2.2 GHz,AMD Radeon Graphics,16 GB,15.6 Inches,1920 x 1080,512 GB SSD,Windows 11 Home,,559.0
1122,DELL,Inspiron,Intel Intel Core i5 Intel Core i5-1235U 3.3 GHz,Intel,32 GB,16 Inches,1920 x 1200 pixels,1000 GB SSD,Windows 11,4.1 Pounds,899.99
1123,HP,,AMD Ryzen 7 2 GHz,AMD Radeon™ Graphics,8 GB,15.6,1920 x 1080 pixels,256 GB SSD,Windows,1690 Grams,390.0
1124,HP,HP Envy,AMD AMD R Series AMD R Series 4.6 GHz,AMD Radeon Graphics,8 GB,15.6 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10,4.1 Pounds,502.95
1125,Dell,Inspiron 3000,Intel Core i7 Intel Core i7-1255U 3.49 GHz,Intel Iris Xe Graphics,64 GB,15.6 Inches,1920x1080,2 TB SSD,Windows 11 Pro,3.7 Pounds,999.99
1126,Dell,Latitude 5530 Laptop,Intel Core i7 1.8 GHz,Intel Integrated Graphics,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Pro,8 Pounds,1097.24
1127,ASUS,,Intel Core 2 Duo 2.2 GHz,AMD,4 GB,14 Inches,1366 x 768 pixels,320 GB,Windows 7 Home Premium 64-bit,4.7 Pounds,999.0
1128,Dell,3520,Intel Intel Core i5 i5-1235U 4.4 GHz,Intel UHD Graphics,16 GB,15.6 Inches,1920x1080,512 GB SSD,Windows 11 Pro,3.7 Pounds,529.0
1129,MSI,Summit E14Flip A12MT-017,Intel Core i5 Core i5-1240P 4.4 GHz,Intel Iris Xe Graphics,16 GB,14 Inches,2880 x 1800 pixels,512 GB SSD,Windows 10,6.03 Pounds,849.0
1130,Lenovo,Lenovo ThinkPad E15,Intel Core i7-10510U 1.8 GHz,Intel UHD Graphics 620,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 10 Pro,4.2 Pounds,1028.58
1131,SAMSUNG,Galaxy Book Ion,Intel Intel Core i7 Core i7-10510U 1.8 GHz,Intel UHD Graphics,8 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 10 Home,2 Pounds,1099.99
1132,Dell,Latitude 5420 Laptop,Intel Core i7 1.2 GHz,Intel,16 GB,14 Inches,1366x768,256 GB SSD,Windows 10 Home,3 Pounds,727.64
1133,Lenovo,Chromebook,AMD A-Series Quad-Core A6 2 GHz,AMD Radeon R5,4 GB,14 Inches,1920 x 1080 pixels,32 MB Emmc,‎Chrome OS,4 Pounds,183.99
1134,AWOW,‎VT11,Intel Celeron N4120 1.1 GHz,Intel® UHD 600,6 GB,11.6 Inches,1920 x 1080 pixels,256 GB SSD,Windows 11,3.1 Pounds,260.83
1135,Dell,Inspiron 5410 Laptop,Intel Core i7 3.4 GHz,Intel Integrated Graphics,16 GB,14 Inches,1920 x 1080 pixels,2000 GB SSD,Windows 11 Home,3.22 Pounds,1029.1
1136,Dell,Latitude 5430 Laptop,Intel Core i7 3.5 GHz,Intel Integrated Graphics,32 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Pro,8 Pounds,993.29
1137,Lenovo,Lenovo Thinkpad,Intel Core i5 2.4 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Pro,3.7 Pounds,809.0
1138,Acer,,Intel,Intel,4 GB,,1920 x 1080 pixels,128 GB,Windows 11 Home,,235.31
1139,HP,15-dy2035tg,AMD Core i3 Core i3-1125G4 3.7 GHz,Intel,8 GB,15.6 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10 S,5 Pounds,355.0
1140,Lenovo,ThinkPad X1 Yoga,Intel Core i5 Core 5-10210U 1.6 GHz,Intel UHD Graphics,8 GB,14 Inches,1920 x 1080,256 GB SSD,Windows 10 Pro,1 Grams,999.0
1141,HP,15-DY500,Intel Core i3 Family Intel Core i3-1215U 2.4 GHz,Intel UHD Graphics,8 GB,15.6 Inches,1920 x 1080,512 GB SSD,Windows 11 Home,,399.0
1142,Lenovo,IdeaPad,Intel,Intel,8 GB,17.3 Inches,1920 x 1080 pixels,256 GB,Windows,1 Pounds,595.07
1143,Lenovo,,Intel Core i5-1035G1 1 GHz,Intel UHD Graphics,4 GB,15.6 Inches,1366 x 768 pixels,1 TB HDD,w,3.5 Pounds,549.97
1144,LG,14Z90P-K.AAB8U1,Intel Intel Core i7 Core i7-1165G7 4.7 GHz,Intel,16 GB,14 Inches,1920 x 1200 pixels,512 GB SSD,Windows 10,2.2 Pounds,1499.99
1145,ROKC,Chromebook Spin 311,MediaTek MediaTek MT8183 Mediatek MT8183C 1.6 GHz,Mediatek,4 GB,11.6 Inches,1366 x 768 pixels,64 GB SSD,Chrome OS,2.3 Pounds,219.99
1146,HP,15-DY500,Intel Core i3 Family Intel Core i3-1215U 2.4 GHz,Intel UHD Graphics,8 GB,15.6 Inches,1920 x 1080,256 GB SSD,Windows 10 Pro,,469.0
1147,HP,15-FC0093DX,AMD Ryzen 5 AMD Ryzen 5 7520U 2.4 GHz,AMD Radeon Graphics,16 GB,15.6 Inches,1920 x 1080,1 TB SSD,Windows 11 Home,,589.0
1148,ASUS,Vivobook X515E,Intel Core i5 Family Intel Core i5-1135G7 2.7 GHz,Intel Iris Xe Graphics,12 GB,15.6 Inches,1920 x 1080,512 GB SSD,Windows 10 Home,,569.0
1149,Dell,Latitude 5520 Laptop,Intel Core i5 0.9 GHz,Intel Integrated Graphics,32 GB,15.6 Inches,1920 x 1080 pixels,2000 GB SSD,Windows 11 Pro,3.5 Pounds,1032.56
1150,LG,15Z90R-Q.APB7U1,Intel Core i7 i7-1360P 2.2 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1200 pixels,,Windows 11 Pro,2.5 Pounds,1171.99
1151,Dell,Dell Latitude 7410,Intel Unknown 4.9 GHz,Intel,16 GB,14 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10 Pro,2.9 Pounds,1079.91
1152,HP,Elitebook 840 G3,Intel Athlon Intel Core i5-6300U 2.4Ghz 2.4 GHz,Intel HD Graphics 520,8 GB,14 Inches,1366x768,256 GB SSD,Windows 10 Pro,930 Grams,221.22
1153,Dell,Dell Inspiron,Intel,Intel,8 GB,15.6 Inches,1920 x 1080 pixels,256 GB,Windows 11 Home,3.82 Pounds,469.0
1154,Asus,P1512CEA-XS51,Intel Core i5 Family Core i5-1135G7 2.4,Intel,8 GB,15.6,1920 x 1080 pixels,256 GB SSD,Windows 11 Pro,5.5 Pounds,617.56
1155,LG,17Z90R-N.APC5U1,Intel Core i7 i5-1340P 19 GHz,Intel Iris Xe Graphics,8 GB,17 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Pro,2.98 Pounds,1129.99
1156,Dell,Latitude 5430,Intel Core i7 Family i7-1255U 4.7 GHz,Intel Iris Xe Graphics,32 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Pro,,1357.0
1157,Dell,Dell Latitude,,Intel,8 GB,14 Inches,1366 x 768 pixels,512 GB,Windows 10 Pro,6.5 Pounds,319.02
1158,HP,15-DY200,Intel Core i5 Family Intel Core i5-1135G7 2.7 GHz,Intel Iris Xe Graphics,8 GB,15.6 Inches,1920 x 1080,256 GB SSD,Windows 11 Pro,,529.0
1159,ASUS,L510MA-DH02,Intel Celeron N4020 Intel Celeron N4020 2.8 GHz,Intel UHD Graphics 600,4 GB,15.6 Inches,1920 x 1080 pixels,,Windows 10 S,3.46 Grams,228.0
1160,Toughbook,CF-54 MK1,Intel Core i5 2.3 GHz,Intel® HD Graphics 5500,16 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 10 Pro,6 Pounds,667.99
1161,Dell,Inspiron 14,AMD A Series 2.3 GHz,AMD Radeon Graphics,8 GB,14 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10,3.8 Pounds,612.14
